Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
Global Gender Gap Report,World Economic Forum,Germany,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,6,6,-,0.495,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,"Gambia, The",2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),7,15,-,0.85,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Papua New Guinea,2025,Latest,Labour-force participation rate %,?????? ????? ???????,7,-,-,0.951,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Zambia,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),7,54,-,0.814,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Iceland,2025,Latest,Women in parliament %,?????? ?? ????????,7,5,-,0.853,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,New Zealand,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,7,7,-,0.48,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Madagascar,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),8,8,-,0.837,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Togo,2025,Latest,Labour-force participation rate %,?????? ????? ???????,8,6,-,0.95,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Singapore,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),8,7,-,0.812,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Australia,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),8,17,-,0.933,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,New Zealand,2025,Latest,Women in parliament %,?????? ?? ????????,8,12,-,0.836,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Philippines,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,8,8,-,0.462,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Zambia,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),9,33,-,0.824,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ghana,2025,Latest,Labour-force participation rate %,?????? ????? ???????,9,5,-,0.948,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Algeria,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),9,4,-,0.811,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Sweden,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),9,14,-,0.917,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Finland,2025,Latest,Women in parliament %,?????? ?? ????????,9,11,-,0.835,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Lithuania,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,9,11,-,0.436,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Zimbabwe,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),10,2,-,0.824,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Tanzania,2025,Latest,Labour-force participation rate %,?????? ????? ???????,10,16,-,0.917,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Liberia,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),10,3,-,0.797,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Colombia,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),10,21,-,0.9,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Norway,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),10,1,-,0.9,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Ecuador,2025,Latest,Women in parliament %,?????? ?? ????????,10,18,-,0.819,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,United Kingdom,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,10,9,-,0.418,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Namibia,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),11,10,-,0.806,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Finland,2025,Latest,Labour-force participation rate %,?????? ????? ???????,11,8,-,0.917,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Luxembourg,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),11,22,-,0.786,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Sweden,2025,Latest,Women in parliament %,?????? ?? ????????,11,7,-,0.818,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,India,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,11,10,-,0.407,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Thailand,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),12,11,-,0.805,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Sweden,2025,Latest,Labour-force participation rate %,?????? ????? ???????,12,10,-,0.912,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Norway,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),12,-,-,0.784,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Germany,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),12,16,-,0.857,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,South Africa,2025,Latest,Women in parliament %,?????? ?? ????????,12,8,-,0.81,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Bosnia And Herzegovina,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,12,12,-,0.398,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Vietnam,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),13,17,-,0.798,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Sierra Leone,2025,Latest,Labour-force participation rate %,?????? ????? ???????,13,7,-,0.911,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Bahrain,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),13,16,-,0.781,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Canada,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),13,18,-,0.842,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Cabo Verde,2025,Latest,Women in parliament %,?????? ?? ????????,13,26,-,0.8,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Liberia,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,13,13,-,0.329,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Timor-Leste,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),14,18,-,0.797,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,"Gambia, The",2025,Latest,Labour-force participation rate %,?????? ????? ???????,14,9,-,0.906,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Costa Rica,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,14,20,-,0.965,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ethiopia,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),14,31,-,0.833,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Norway,2025,Latest,Women in parliament %,?????? ?? ????????,14,14,-,0.798,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Trinidad And Tobago,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,14,-,-,0.324,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Sweden,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),15,22,-,0.778,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,"Congo, Rep.",2025,Latest,Labour-force participation rate %,?????? ????? ???????,15,-,-,0.903,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Bhutan,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,15,54,-,0.953,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Lao Pdr,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),15,26,-,0.768,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Mexico,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),15,21,-,0.818,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Spain,2025,Latest,Women in parliament %,?????? ?? ????????,15,15,-,0.795,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Latvia,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,15,14,-,0.281,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Botswana,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),16,19,-,0.776,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Norway,2025,Latest,Labour-force participation rate %,?????? ????? ???????,16,14,-,0.898,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Philippines,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,16,12,-,0.947,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ukraine,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),16,35,-,0.768,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,South Africa,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),16,1,-,0.778,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Denmark,2025,Latest,Women in parliament %,?????? ?? ????????,16,13,-,0.772,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Barbados,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,16,20,-,0.251,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Portugal,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),17,14,-,0.774,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Eswatini,2025,Latest,Labour-force participation rate %,?????? ????? ???????,17,21,-,0.891,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Guyana,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,17,15,-,0.879,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Thailand,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),17,25,-,0.766,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Switzerland,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),17,19,-,0.75,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Belgium,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),17,1,-,0.75,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Argentina,2025,Latest,Women in parliament %,?????? ?? ????????,17,21,-,0.736,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Namibia,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,17,17,-,0.25,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Mozambique,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),18,21,-,0.774,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Israel,2025,Latest,Labour-force participation rate %,?????? ????? ???????,18,17,-,0.89,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ghana,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,18,21,-,0.864,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Saudi Arabia,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),18,13,-,0.763,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ethiopia,2025,Latest,Women in parliament %,?????? ?? ????????,18,22,-,0.721,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Malta,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,18,16,-,0.25,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Cambodia,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),19,23,-,0.763,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Azerbaijan,2025,Latest,Labour-force participation rate %,?????? ????? ???????,19,19,-,0.889,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Panama,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,19,16,-,0.864,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ireland,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),19,38,-,0.759,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Madagascar,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),19,59,-,0.733,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
